"","Nu"
"AFST449",39.9121726190476
"EVST132",46.8025637755102
"ENGL130",48.2748412698413
"ENGL126",70.9698526077098
"LATN485",43.4707936507937
"ANTH438",55.6603571428571
"HIST323",45.682193877551
"HSAR368",52.0093934240363
"HIST276",69.3479081632653
"ANTH303",82.0458333333333
"CGSC425",64.3253231292517
"HSAR456",49.0917743764172
"ANTH132",71.8418764172336
"CLCV319",59.1613718820862
"G&G216",46.5213492063492
"HIST283J",50.504552154195
"CLCV216",34.7295663265306
"HUMS153",59.3556519274376
"BENG405",70.6811111111111
"HIST231J",58.6747675736961
"PLSC236",57.1661734693878
"CPSC440",67.3989512471655
"CPSC423",72.3722222222222
"BENG467",75.5356689342404
"USAF302",69.6855215419501
"MCDB205",81.4487414965986
"PSYC180",72.5790986394558
"MCDB241L",67.6298185941043
"ANTH267",66.7271541950113
"THST405",51.2472505668934
"GLBL180",87.2861111111111
"PHIL180",63.4707993197279
"ARCH431",52.0164172335601
"ENAS344",54.3578911564626
"AFST435",47.6988676303855
"ITAL157",53.0446995464853
"HUMS411",44.6518466553288
"AFAM406",43.2844246031746
"JDST256",39.2764542391031
"AFAM469",51.0844912131519
"ANTH271",66.39839569161
"ENGL245",72.7762414965986
"GREK125",74.389574829932
"ZULU160",71.5503741496599
"WGSS398",79.4425
"SPAN110",71.0957043650794
"GLBL275",78.5869968820862
"AFST413",49.9970762471655
"ART371",58.1986465419501
"ART346",87.2709637188209
"FILM411",62.0445578231293
"ENGL114",70.4565022675737
"ECON444",46.9687429138322
"ARCH345",69.2275623582766
"AMTH361",71.3515646258503
"BIOL101",70.2278911564626
"YORU181",80.2325
"G&G205",52.0532142857143
"CPSC421",42.4692587868481
"ECON443",56.7277891156463
"LING264",48.8170011337869
"ASTR110",73.7277777777778
"EP&E220",49.7518253968254
"GLBL263",47.2152380952381
"WGSS324",83.1935600907029
"ART007",78.0741496598639
"GMAN120",77.6959297052154
"HUMS140",59.003985260771
"ANTH376",74.693820861678
"PLSC274",51.8036224489796
"GLBL247",53.9615646258503
"LING254",54.8445578231293
"ANTH386",50.2748299319728
"CENG412L",79.6534637188209
"ECON417",68.9840816326531
"ECON461",57.2015646258503
"ART433",75.0701133786848
"ZULU120",74.9154081632653
"LAST221",76.1304081632653
"FREN109",78.862074829932
"EDST250",51.218005952381
"ENGL253",44.5482497165533
"GMAN159",54.3055158730159
"ART231",77.9406859410431
"ART122",74.537335600907
"FILM488",69.1730215419501
"G&G126L",61.4317191043084
"MGRK303",76.5991496598639
"ENGL115",75.4991496598639
"ASTR343",56.5753401360544
"ENGL287",55.4215547052154
"AFST335",44.3335643424036
"MUSI131",66.4863718820862
"HIST264",50.0069387755102
"DRST004",51.442983276644
